年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,6451.000000,8.000000,-,-,29.000000,903.000000,309.000000,-,-,1.000000,1179.000000,-,1257.000000,1630.000000,218.000000,3.000000,-,125.000000,-,789.000000,-,-,-
1999,-,7513.000000,76.000000,-,-,2.000000,909.000000,1510.000000,-,-,-,1307.000000,-,964.000000,1620.000000,233.000000,2.000000,67.000000,59.000000,-,764.000000,-,-,-
2000,-,5778.000000,72.000000,-,-,-,788.000000,88.000000,-,-,-,1298.000000,-,862.000000,1651.000000,216.000000,2.000000,1.000000,59.000000,-,741.000000,-,-,-
2001,5952.000000,5439.000000,70.000000,-,-,1.000000,789.000000,7.000000,-,-,-,1313.000000,-,792.000000,1650.000000,22.000000,1.000000,1.000000,76.000000,-,717.000000,-,504.000000,9.000000
2002,6059.000000,5498.000000,70.000000,-,-,1.000000,793.000000,7.000000,-,-,-,1444.000000,-,722.000000,1658.000000,7.000000,1.000000,1.000000,69.000000,-,725.000000,-,561.000000,-
2003,4806.000000,4206.000000,70.000000,-,-,1.000000,628.000000,7.000000,-,-,-,293.000000,-,725.000000,1653.000000,5.000000,1.000000,1.000000,119.000000,-,703.000000,-,600.000000,-
2004,6933.000000,6334.000000,70.000000,-,-,1.000000,2361.000000,7.000000,-,-,-,273.000000,-,1105.000000,1650.000000,4.000000,1.000000,1.000000,136.000000,-,725.000000,-,599.000000,-
2005,7617.000000,6790.000000,70.000000,-,-,-,2358.000000,7.000000,-,-,-,708.000000,-,1119.000000,1648.000000,5.000000,-,1.000000,136.000000,-,738.000000,-,827.000000,-
2006,6687.000000,5812.000000,18.000000,-,-,-,1245.000000,10.000000,-,-,-,1108.000000,-,1119.000000,1503.000000,4.000000,-,1.000000,109.000000,-,695.000000,-,875.000000,-
2007,6912.000000,5992.000000,53.000000,-,-,-,1242.000000,-,-,-,-,1120.000000,-,1466.000000,1317.000000,4.000000,-,1.000000,109.000000,-,680.000000,-,920.000000,-
2008,5895.000000,5481.000000,38.000000,-,-,-,592.000000,175.000000,-,-,-,1124.000000,-,1286.000000,1525.000000,4.000000,-,-,92.000000,-,645.000000,-,414.000000,-
2009,6129.000000,5724.000000,27.000000,-,-,1.000000,1232.000000,186.000000,-,-,-,1139.000000,-,1210.000000,1530.000000,4.000000,-,-,92.000000,-,303.000000,-,405.000000,-
2010,6053.000000,5493.000000,27.000000,-,-,1.000000,1234.000000,-,1.000000,-,-,1140.000000,-,1200.000000,1540.000000,3.000000,-,-,49.000000,-,298.000000,-,557.000000,3.000000
2011,6188.000000,5582.000000,39.000000,-,-,1.000000,1083.000000,145.000000,-,-,-,1095.000000,-,1240.000000,1586.000000,2.000000,-,-,96.000000,-,295.000000,-,606.000000,-
2012,5916.000000,5396.000000,22.000000,-,-,1.000000,948.000000,158.000000,-,-,-,1126.000000,-,1230.000000,1562.000000,2.000000,-,-,77.000000,-,270.000000,-,520.000000,-
2013,5899.000000,5307.000000,22.000000,-,-,1.000000,981.000000,113.000000,-,-,-,1136.000000,-,1229.000000,1464.000000,2.000000,-,-,99.000000,-,260.000000,-,592.000000,-
2014,6569.000000,5859.000000,22.000000,-,-,1.000000,796.000000,89.000000,-,-,-,813.000000,-,2393.000000,1404.000000,2.000000,-,-,99.000000,-,240.000000,-,710.000000,-
2015,5388.000000,5388.000000,22.000000,-,-,1.000000,930.000000,49.000000,-,-,-,808.000000,-,2339.000000,897.000000,2.000000,-,1.000000,99.000000,-,240.000000,-,-,-
2016,5790.000000,5070.000000,22.000000,-,-,1.000000,954.000000,99.000000,-,-,-,780.000000,-,2026.000000,881.000000,-,-,1.000000,99.000000,-,207.000000,-,720.000000,-
2017,5772.000000,5010.000000,21.000000,-,-,1.000000,921.000000,35.000000,-,-,-,828.000000,-,2013.000000,887.000000,2.000000,-,-,97.000000,-,205.000000,-,762.000000,-
2018,5748.000000,4929.000000,23.000000,-,-,-,924.000000,21.000000,-,-,-,783.000000,-,2012.000000,886.000000,2.000000,-,-,97.000000,-,181.000000,-,815.000000,4.000000
