年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,116.680000,117.030000,76.650000,525.330000,60.720000,94.100000,55.030000,72.340000,27.960000,40.960000,37.180000,61.470000,36.190000,33.400000,27.270000,27.170000,40.020000,39.180000,23.870000,98.310000,72.190000,93.930000,19.570000,32.260000
2007,116.500000,116.860000,72.590000,585.240000,55.520000,78.070000,41.240000,61.380000,28.290000,33.300000,36.780000,56.920000,34.610000,28.710000,23.800000,23.500000,25.430000,34.130000,20.440000,79.090000,67.050000,80.930000,19.180000,50.250000
2008,115.050000,115.410000,73.990000,586.860000,48.780000,78.400000,38.530000,56.590000,31.570000,33.170000,30.250000,56.020000,32.580000,26.660000,17.790000,21.060000,26.300000,32.710000,19.120000,99.120000,62.780000,78.580000,13.550000,137.760000
2009,113.780000,114.170000,70.590000,582.370000,49.840000,73.890000,38.290000,53.970000,34.160000,35.660000,34.610000,59.360000,37.470000,31.490000,23.850000,20.830000,29.270000,35.080000,20.750000,112.700000,61.420000,72.220000,16.190000,87.490000
2010,117.890000,118.330000,81.100000,602.740000,48.870000,79.480000,42.820000,59.010000,29.660000,29.910000,32.340000,51.690000,29.460000,28.770000,21.130000,20.000000,25.740000,37.460000,18.100000,108.090000,56.270000,68.940000,13.990000,95.720000
2011,119.880000,120.350000,81.940000,615.880000,49.770000,77.340000,39.800000,58.690000,32.920000,29.420000,33.540000,58.790000,31.220000,29.090000,21.270000,20.910000,30.260000,35.820000,24.790000,88.100000,61.460000,68.930000,15.050000,105.010000
2012,116.300000,116.790000,81.790000,591.810000,45.980000,75.600000,40.320000,57.060000,30.120000,27.070000,32.000000,54.700000,29.200000,26.810000,20.390000,20.390000,30.950000,32.870000,22.530000,93.520000,57.270000,65.820000,15.920000,85.410000
2013,115.660000,116.210000,82.390000,575.970000,47.730000,78.120000,43.730000,58.680000,30.680000,23.810000,29.020000,53.580000,28.760000,28.670000,19.880000,19.880000,32.550000,32.680000,22.840000,99.020000,60.640000,63.380000,12.320000,43.040000
2014,117.720000,118.340000,90.390000,562.640000,52.060000,74.620000,45.340000,61.910000,33.420000,30.760000,34.710000,63.980000,32.970000,37.100000,23.860000,21.190000,36.150000,35.090000,22.910000,104.270000,66.590000,55.880000,10.010000,31.520000
2015,111.330000,111.940000,87.080000,540.850000,43.760000,72.120000,43.790000,59.570000,31.300000,24.930000,27.340000,49.010000,28.790000,26.330000,23.030000,20.100000,31.350000,33.640000,19.470000,97.040000,62.030000,53.320000,10.810000,21.550000
2016,106.490000,107.090000,84.370000,520.400000,37.590000,67.660000,43.480000,58.750000,29.240000,26.880000,24.580000,46.180000,26.450000,23.240000,19.710000,21.530000,27.480000,30.210000,17.440000,93.930000,52.480000,56.970000,8.050000,43.220000
2017,99.840000,100.380000,83.530000,492.610000,33.210000,59.840000,39.530000,53.660000,27.510000,24.290000,20.600000,44.370000,26.030000,21.320000,17.310000,19.580000,26.230000,29.510000,15.350000,83.060000,48.110000,50.420000,14.060000,17.700000
2018,91.260000,91.730000,82.830000,444.550000,30.030000,53.620000,39.830000,52.490000,25.280000,21.730000,19.730000,42.940000,24.880000,19.420000,15.930000,18.320000,22.290000,27.220000,14.990000,22.390000,41.450000,43.190000,18.730000,16.020000
