年度,總計,台灣地區,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,43611.000000,5653.000000,-,474.000000,194.000000,9967.000000,3388.000000,2440.000000,427.000000,1549.000000,582.000000,-,3.000000,1054.000000,3036.000000,4632.000000,1097.000000,3526.000000,1702.000000,3887.000000,-,-,-
1999,-,39910.000000,4844.000000,-,531.000000,359.000000,5796.000000,2805.000000,3208.000000,402.000000,1656.000000,646.000000,-,22.000000,888.000000,3470.000000,3774.000000,974.000000,2908.000000,2290.000000,5337.000000,-,-,-
2000,-,44018.000000,9247.000000,-,505.000000,285.000000,2825.000000,3455.000000,3944.000000,501.000000,1566.000000,643.000000,-,34.000000,880.000000,2650.000000,3890.000000,715.000000,3321.000000,4789.000000,4768.000000,-,-,-
2001,49559.000000,48923.000000,9077.000000,-,444.000000,302.000000,2606.000000,3634.000000,6005.000000,698.000000,2087.000000,706.000000,-,95.000000,793.000000,2185.000000,3858.000000,1265.000000,4702.000000,4889.000000,5577.000000,-,310.000000,326.000000
2002,49669.000000,49252.000000,10434.000000,-,411.000000,274.000000,3309.000000,5028.000000,3939.000000,407.000000,2134.000000,649.000000,-,91.000000,774.000000,3132.000000,2363.000000,666.000000,5688.000000,4286.000000,5667.000000,-,167.000000,250.000000
2003,63740.000000,63430.000000,19085.000000,-,369.000000,407.000000,2194.000000,6089.000000,7373.000000,1167.000000,1715.000000,761.000000,-,95.000000,797.000000,2723.000000,1840.000000,747.000000,7409.000000,4160.000000,6499.000000,-,106.000000,204.000000
2004,56291.000000,56072.000000,9250.000000,-,418.000000,348.000000,4205.000000,6540.000000,5813.000000,961.000000,1144.000000,693.000000,-,88.000000,650.000000,4328.000000,2015.000000,1267.000000,6438.000000,4078.000000,7836.000000,-,36.000000,183.000000
2005,52956.300700,52779.300700,6900.095000,-,324.257000,255.928400,4133.509000,4862.436300,7532.854000,715.300000,1216.237000,667.000000,-,36.732000,654.452000,3879.199000,3264.700000,1390.801000,5828.000000,4028.500000,7089.300000,-,75.000000,102.000000
2006,54381.461070,54225.899070,4974.570000,-,493.385000,168.145000,4198.975370,4741.012800,7782.883000,837.600000,1741.305000,694.900000,-,41.810000,562.249500,3798.368400,4268.500000,3483.795000,4993.700000,4563.400000,6881.300000,-,60.600000,94.962000
2007,54281.062810,54110.062810,5511.461000,-,537.353000,-,4896.668600,5178.985010,8582.337000,655.620000,1578.826000,663.400000,-,262.280000,485.301000,3748.781200,4308.200000,3267.600000,3357.050000,4257.800000,6818.400000,-,81.000000,90.000000
2008,47578.810000,47365.990000,6225.700000,-,228.910000,-,3023.000000,4002.000000,7309.000000,384.090000,1267.000000,644.500000,-,275.650000,431.000000,3778.000000,4330.000000,2481.000000,1312.440000,3839.000000,7834.700000,-,101.970000,110.850000
2009,46013.168940,45732.496040,6035.793000,-,61.567500,-,2544.811800,4422.546290,6504.000000,345.200000,1508.892000,628.000000,-,5867.260000,404.961450,3603.913000,2585.000000,2099.484000,521.717000,3891.400000,4707.950000,-,154.806900,125.866000
2010,34730.664930,34423.873530,7398.944000,-,442.948100,21.035000,1246.261700,4448.833310,3525.090000,264.559000,1200.173000,614.400000,-,79.120000,401.069120,2388.154300,2556.900000,3296.931000,777.280000,3000.400000,2761.775000,-,160.338400,146.453000
2011,28116.611830,27879.977830,4859.796340,-,166.721500,16.069800,368.665200,1419.165170,2835.702000,241.540000,958.447000,594.400000,-,219.320000,390.489520,3985.272600,2573.310000,3315.685700,882.900000,2209.800000,2842.693000,-,96.694000,139.940000
2012,33027.431920,32733.231420,5919.369600,-,532.670000,10.925000,177.861740,1160.085130,6634.599750,264.652000,1187.770000,600.100000,-,43.342000,423.801860,3424.894640,2439.385200,4198.837000,775.080000,1429.106000,3510.751500,-,160.611500,133.589000
2013,27565.581380,27238.605380,3496.240480,-,385.593300,36.593700,163.172000,1563.066190,4799.518700,374.145000,1116.777000,560.400000,-,47.585000,415.052220,3384.717200,2132.912990,3157.863600,904.000000,1885.180000,2815.788000,-,184.226000,142.750000
2014,139927.910480,139785.976980,22797.969000,-,366.566500,1741.234720,676.914900,13960.138640,36182.621000,-,18.480000,-,-,276.150000,1367.807280,8753.391240,4287.409800,196.417500,4955.546400,42378.780000,1826.550000,-,141.933500,-
2015,25263.874380,24854.273480,250.387400,-,641.496800,5.080000,183.800250,2195.541610,6521.550200,353.687000,902.356300,552.966000,-,91.648000,361.148850,3589.745500,2504.799310,3680.439620,1334.100000,917.469640,768.057000,-,79.246900,330.354000
2016,26214.525750,25828.338850,310.800000,-,466.955000,10.413000,177.340800,2211.474820,7398.011120,324.358000,810.487860,748.048900,-,41.334070,266.844430,6052.996800,1845.468560,2189.737660,837.700000,1538.589630,597.778200,-,104.342900,281.844000
2017,26680.933040,26509.442540,593.974400,-,620.067200,2.035400,381.110000,2188.152910,6749.376000,278.260000,824.255200,637.764000,-,32.580000,185.173230,4324.500100,3961.604080,2073.459060,954.852000,2115.475000,586.803960,-,44.296500,127.194000
2018,25080.777870,24974.692870,533.295000,-,514.861300,47.949500,189.038900,2283.450820,6358.886500,501.231200,814.986300,570.382010,-,217.750160,155.538000,3906.546300,2960.218020,2175.825840,1074.576720,1644.145000,1026.011300,-,37.965000,68.120000
